Leisure-time Physical Inactivity Rank,,,2004,,,2005,,,2006,,,2007,,,2008,,,2009,,,2010,,,2011,,,2012,,,2013,,
State,FIPS Code,County,5th Percentile,50th Percentile,95th Percentile,5th Percentile,50th Percentile,95th Percentile,5th Percentile,50th Percentile,95th Percentile,5th Percentile,50th Percentile,95th Percentile,5th Percentile,50th Percentile,95th Percentile,5th Percentile,50th Percentile,95th Percentile,5th Percentile,50th Percentile,95th Percentile,5th Percentile,50th Percentile,95th Percentile,5th Percentile,50th Percentile,95th Percentile,5th Percentile,50th Percentile,95th Percentile
Alabama,01001,Autauga County,1804,2679,3058,1744,2599,3026,1791,2608,3020,1933,2728,3067,1799,2673,3056,1655,2526,2991,1205,2025,2713,1105,1916,2642,1164,1976,2673,1470,2286,2791
Alabama,01003,Baldwin County,1063,1835,2523,839,1652,2414,937,1668,2386,606,1162,1848,686,1211,1907,617,1021,1527,1057,1564,2108,804,1264,1756,734,1174,1689,509,889,1373
Alabama,01005,Barbour County,2164,2858,3109,2428,2970,3126,2258,2872,3096,2166,2829,3091,2298,2878,3089,2155,2772,3063,2271,2842,3077,1946,2641,3008,1933,2629,3009,2102,2696,3019
Alabama,01007,Bibb County,1061,2204,2943,1636,2633,3084,2295,2923,3116,2419,2960,3120,2537,2987,3122,2559,3002,3127,2536,2988,3124,2065,2745,3068,1958,2676,3047,2348,2913,3115
Alabama,01009,Blount County,1309,2370,2992,1385,2467,3014,1377,2407,2977,1671,2633,3051,2025,2841,3107,2253,2892,3111,2072,2802,3087,1285,2215,2868,970,1852,2658,1245,2102,2752
Alabama,01011,Bullock County,2286,2929,3117,2406,2947,3121,1970,2703,3064,1803,2645,3047,1762,2668,3063,1259,2357,2984,1512,2550,3056,1799,2687,3076,1700,2660,3083,1746,2699,3081
Alabama,01013,Butler County,1832,2653,3048,1566,2511,2998,1958,2691,3051,2034,2808,3093,2269,2855,3091,2474,2953,3105,2554,2961,3111,2633,3020,3131,2117,2762,3063,2365,2910,3109
Alabama,01015,Calhoun County,1916,2550,2941,2157,2717,3017,2116,2623,2951,2032,2596,2931,2008,2558,2908,2327,2724,2978,2231,2673,2938,2375,2741,2975,2311,2712,2962,2242,2629,2897
Alabama,01017,Chambers County,1846,2657,3055,1974,2730,3070,2152,2824,3086,2038,2787,3088,2360,2917,3111,2309,2883,3098,2704,3036,3130,2343,2892,3098,2157,2805,3077,2017,2633,3020
Alabama,01019,Cherokee County,1978,2852,3126,2330,3005,3137,2450,3018,3136,2280,2966,3128,2090,2909,3125,1948,2844,3114,1586,2645,3076,1059,2080,2853,1125,2207,2943,2062,2796,3096
Alabama,01021,Chilton County,1725,2617,3054,1830,2694,3069,1904,2693,3062,1712,2660,3067,1574,2589,3037,1319,2277,2905,1520,2388,2922,1709,2539,3015,1685,2506,2984,1686,2528,2992
Alabama,01023,Choctaw County,1986,2732,3078,1947,2722,3078,2057,2726,3048,1646,2417,2904,2114,2760,3051,2275,2807,3060,2621,3000,3121,2275,2838,3084,1947,2652,3015,1640,2373,2879
