Obesity Rank,,,2004,,,2005,,,2006,,,2007,,,2008,,,2009,,,2010,,,2011,,,2012,,,2013,,
State,FIPS Code,County,5th Percentile,50th Percentile,95th Percentile,5th Percentile,50th Percentile,95th Percentile,5th Percentile,50th Percentile,95th Percentile,5th Percentile,50th Percentile,95th Percentile,5th Percentile,50th Percentile,95th Percentile,5th Percentile,50th Percentile,95th Percentile,5th Percentile,50th Percentile,95th Percentile,5th Percentile,50th Percentile,95th Percentile,5th Percentile,50th Percentile,95th Percentile,5th Percentile,50th Percentile,95th Percentile
Alabama,01001,Autauga County,1617,2746,3096,928,2252,2994,483,1569,2701,726,1980,2891,925,2216,2955,1329,2406,2982,612,1546,2495,783,1693,2571,653,1528,2459,1235,2234,2872
Alabama,01003,Baldwin County,703,1785,2750,441,1265,2438,218,620,1600,223,571,1392,340,835,1728,249,548,1091,353,727,1351,208,441,902,321,668,1222,426,770,1377
Alabama,01005,Barbour County,2050,2934,3121,2132,2952,3124,2472,3042,3133,2421,3000,3126,2565,3020,3127,2126,2855,3096,2121,2857,3096,2223,2929,3116,2580,3039,3132,2961,3118,3140
Alabama,01007,Bibb County,1293,2625,3085,1365,2703,3097,1232,2554,3061,1172,2488,3034,1248,2444,3003,1395,2428,2991,1320,2407,2981,1921,2802,3098,2470,2996,3127,2453,3002,3127
Alabama,01009,Blount County,428,1599,2846,561,1988,2986,574,1973,2927,1003,2407,3042,983,2327,3013,858,1987,2879,540,1525,2604,612,1612,2661,892,1941,2802,1390,2412,2986
Alabama,01011,Bullock County,2672,3091,3139,2643,3082,3139,2443,3055,3136,2471,3036,3133,2382,3017,3133,2183,3008,3137,2587,3093,3142,2676,3107,3143,2764,3119,3143,2528,3091,3141
Alabama,01013,Butler County,1691,2801,3099,1299,2609,3074,1268,2601,3068,2224,2966,3123,2407,3001,3126,2808,3090,3138,2461,2977,3119,2343,2952,3116,1707,2634,3050,1700,2689,3063
Alabama,01015,Calhoun County,1480,2549,3021,1529,2593,3030,1936,2755,3056,1964,2755,3049,1927,2686,3014,1677,2383,2834,1556,2240,2727,1127,1784,2421,1146,1847,2490,1167,1890,2534
Alabama,01017,Chambers County,1750,2826,3106,1361,2635,3082,1780,2840,3103,2230,2980,3127,2072,2912,3114,1682,2675,3059,1672,2642,3049,2531,3024,3131,2442,2998,3129,2436,2993,3126
Alabama,01019,Cherokee County,536,1933,2970,601,2085,3017,897,2437,3066,793,2291,3037,831,2302,3044,539,1764,2820,643,1888,2849,457,1561,2703,771,2068,2935,993,2205,2960
Alabama,01021,Chilton County,900,2274,3008,939,2352,3016,1460,2725,3098,1675,2825,3109,1766,2816,3105,1618,2645,3052,2229,2935,3119,1934,2796,3093,1845,2776,3086,1522,2606,3056
Alabama,01023,Choctaw County,1977,2900,3119,1754,2838,3110,2301,2985,3122,2509,3009,3126,2502,2989,3119,2538,2989,3119,2567,3004,3126,2658,3050,3133,2271,2932,3115,2651,3031,3129
Alabama,01025,Clarke County,2064,2918,3120,1810,2821,3106,2259,2994,3126,2134,2938,3120,2215,2952,3117,1788,2698,3058,1896,2727,3057,1625,2560,3010,1669,2616,3043,2119,2862,3107
Alabama,01027,Clay County,836,2396,3052,688,2142,3013,980,2519,3063,1057,2511,3072,1087,2460,3060,1234,2562,3066,1521,2654,3081,1919,2866,3116,1887,2856,3121,1780,2820,3106
Alabama,01029,Cleburne County,702,2217,3034,847,2417,3068,522,2119,3019,459,1802,2953,358,1517,2827,445,1506,2671,586,1838,2856,445,1570,2724,320,1368,2666,372,1396,2710
Alabama,01031,Coffee County,1751,2807,3104,1655,2760,3096,1944,2866,3104,1543,2630,3055,1407,2519,3037,1003,2031,2807,557,1430,2431,394,1024,1983,574,1388,2349,1245,2190,2863
