,Rank,State,County,Per Capita Income,Median Household Income,Median Family Income,Population,# of households
2,1,New York,New York,62498,69659,84627,1605272,736192
3,2,Virginia,Arlington,62018,103208,139244,214861,94454
4,3,Virginia,Falls Church City,59088,120000,152857,12731,5020
5,4,California,Marin,56791,90839,117357,254643,102912
6,5,Virginia,Alexandria City,54608,85706,107511,143684,65369
7,6,Colorado,Pitkin,51814,72745,93981,17173,7507
8,7,New Mexico,Los Alamos,51044,106686,124979,17979,7590
9,8,Virginia,Fairfax,50532,110292,128596,1101071,389908
10,9,New Jersey,Hunterdon,50349,106143,125828,127047,46816
11,10,Texas,Borden,50042,71607,76250,649,225
12,11,Maryland,Montgomery,49038,98221,117408,989474,360563
13,12,New Jersey,Morris,48814,98633,117683,495261,179665
14,13,Connecticut,Fairfield,48721,82283,104250,926233,332655
15,14,California,San Francisco,48486,75604,90116,817501,345344
16,15,Maryland,Howard,48172,109865,128657,293821,106142
17,16,New York,Westchester,47984,81946,105341,956283,343561
18,17,New Jersey,Somerset,47803,99020,117393,326207,115531
19,18,Massachusetts,Nantucket,47331,85478,92500,10224,4069
20,19,Virginia,Loudoun,46565,122238,133550,326477,106997
21,20,Alaska,North Slope,46457,80761,82500,9484,1990
22,21,California,San Mateo,45732,88202,105844,729543,257941
23,22,Hawaii,Kalawao,45515,59375,88750,71,46
24,23,District of Columbia,Washington City,45290,65830,79665,619371,263649
25,24,Virginia,Goochland,45039,80976,92042,21565,8058
26,25,Massachusetts,Norfolk,44692,84916,108943,677296,257451
27,26,Virginia,Fairfax City,44345,97242,113538,23027,8492
28,27,Colorado,Douglas,43634,101591,112930,293014,103780
29,28,Wyoming,Teton,43444,68078,83558,21575,7583
30,29,New Jersey,Bergen,43347,83794,102222,912795,335422
31,30,Massachusetts,Middlesex,42861,82090,104032,1522533,581120
32,31,New Jersey,Monmouth,42749,84526,105971,629735,233909
33,32,Utah,Summit,42462,83336,95879,37232,13627
34,33,New York,Nassau,42400,97690,112874,1343765,441955
35,34,Colorado,Mineral,42255,47083,68438,761,393
36,35,Pennsylvania,Chester,42210,86050,105278,503075,184788
37,36,Wisconsin,Ozaukee,42041,75457,92262,86708,34108
38,37,Colorado,Clear Creek,41716,67259,89583,9048,4024
39,38,California,Santa Clara,41513,91702,103983,1812208,609377
40,39,Pennsylvania,Montgomery,41472,79183,99587,804621,307488
41,40,Tennessee,Williamson,41292,89779,104796,188935,66364
42,41,Colorado,San Miguel,40827,63594,77708,7496,3234
43,42,Maryland,Anne Arundel,40415,87430,101268,544426,199904
44,43,New York,Putnam,40309,95117,109188,99718,34496
45,44,Rhode Island,Newport,40293,71713,88962,82545,34774
46,45,Ohio,Delaware,40189,89757,103564,178139,64208
47,46,Connecticut,Middlesex,39992,76994,98501,165690,66141
48,47,Washington,King,39911,71811,92510,1974567,802606
49,48,Virginia,Fauquier,39600,88409,103556,66015,23130
50,49,Indiana,Hamilton,39521,82468,99768,282977,103234
51,50,Colorado,Eagle,39497,74456,86167,52151,17966
52,51,Virginia,James City,39133,76960,90406,68171,26883
53,52,Rhode Island,Bristol,38893,71238,93131,49426,19174
54,53,Kansas,Johnson,38827,74717,92512,552947,216304
55,54,Virginia,Clarke,38748,77597,95654,14191,5580
56,55,North Dakota,Williams,38738,76210,86285,25024,10411
57,56,Illinois,DuPage,38570,78487,95208,922803,336028
58,57,Virginia,Poquoson City,38444,81892,98848,12117,4591
59,58,New Hampshire,Rockingham,38399,77348,93420,296718,116262
60,59,Maryland,Calvert,38260,95477,107684,89332,30923
61,60,California,Contra Costa,38219,78756,94208,1065794,375855
62,61,Maryland,Queen Anne's,38108,87256,97909,48166,17292
63,62,Colorado,Gilpin,38022,63885,87639,5477,2504
64,63,Maryland,Talbot,38022,61597,74811,37859,16013
65,64,Illinois,Lake,38018,77469,92116,702099,241072
66,65,Colorado,Boulder,38011,67956,92667,301072,120521
67,66,North Dakota,Billings,37972,57083,69167,876,350
68,67,New Jersey,Sussex,37949,87335,100066,147924,54746
70,68,Texas,Collin,37839,82762,97421,811308,289752
71,69,Washington,San Juan,37719,53376,65067,15786,7753
72,70,Connecticut,Litchfield,37667,71338,87945,188629,75755
73,71,Wisconsin,Waukesha,37577,75850,92974,391200,153422
74,72,Alaska,Juneau,37558,81490,95112,31897,12099
75,73,Minnesota,Hennepin,37485,64403,84559,1170623,481263
76,74,Indiana,Boone,37482,67255,80907,58009,21908
77,75,Pennsylvania,Bucks,37466,76555,92907,625977,230366
78,76,New Jersey,Mercer,37465,73480,94267,368094,130754
79,77,Minnesota,Carver,37457,83773,96913,92770,33486
80,78,Colorado,Broomfield,37442,77998,96787,57171,22016
81,79,Virginia,Prince William,37401,98071,106544,416668,132442
82,80,Maryland,Charles,37277,93160,104078,148957,51247
83,81,Virginia,Albemarle,37239,67725,89889,100636,37964
84,82,Alaska,Skagway,37139,71667,77500,1080,412
85,83,Alaska,Bristol Bay,37024,79531,96458,933,384
86,84,Rhode Island,Washington,37023,72138,91532,126627,49430
87,85,New York,Suffolk,36945,87763,100652,1495803,497347
