Rank,State,County-equivalent,Per capita,Median,Median,Population,Number of
,,,income,household,family,,households
,,,,income,income,,
1,New York,New York County,"$62,498 ","$69,659 ","$84,627 ","1,605,272","736,192"
2,Virginia,Arlington,"$62,018 ","$103,208 ","$139,244 ","214,861","94,454"
3,Virginia,Falls Church City,"$59,088 ","$120,000 ","$152,857 ","12,731","5,020"
4,California,Marin,"$56,791 ","$90,839 ","$117,357 ","254,643","102,912"
5,Virginia,Alexandria City,"$54,608 ","$85,706 ","$107,511 ","143,684","65,369"
6,Colorado,Pitkin,"$51,814 ","$72,745 ","$93,981 ","17,173","7,507"
7,New Mexico,Los Alamos,"$51,044 ","$106,686 ","$124,979 ","17,979","7,590"
8,Virginia,Fairfax County,"$50,532 ","$110,292 ","$128,596 ","1,101,071","389,908"
9,New Jersey,Hunterdon,"$50,349 ","$106,143 ","$125,828 ","127,047","46,816"
10,Texas,Borden,"$50,042 ","$71,607 ","$76,250 ",649,225
11,Maryland,Montgomery,"$49,038 ","$98,221 ","$117,408 ","989,474","360,563"
12,New Jersey,Morris,"$48,814 ","$98,633 ","$117,683 ","495,261","179,665"
13,Connecticut,Fairfield,"$48,721 ","$82,283 ","$104,250 ","926,233","332,655"
14,California,San Francisco,"$48,486 ","$75,604 ","$90,116 ","817,501","345,344"
15,Maryland,Howard,"$48,172 ","$109,865 ","$128,657 ","293,821","106,142"
16,New York,Westchester,"$47,984 ","$81,946 ","$105,341 ","956,283","343,561"
17,New Jersey,Somerset,"$47,803 ","$99,020 ","$117,393 ","326,207","115,531"
18,Massachusetts,Nantucket,"$47,331 ","$85,478 ","$92,500 ","10,224","4,069"
19,Virginia,Loudoun,"$46,565 ","$122,238 ","$133,550 ","326,477","106,997"
20,Alaska,North Slope,"$46,457 ","$80,761 ","$82,500 ","9,484","1,990"
21,California,San Mateo,"$45,732 ","$88,202 ","$105,844 ","729,543","257,941"
22,Hawaii,Kalawao,"$45,515 ","$59,375 ","$88,750 ",71,46
23,District of Columbia,Washington City,"$45,290 ","$65,830 ","$79,665 ","619,371","263,649"
