,State,FIPS,County,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,Comments
1,Alabama,01001,Autauga,3058.0,3026.0,3020.0,3067.0,3056.0,2991.0,2713.0,2642.0,2673.0,2791.0,95th Percentile
2,Alabama,01003,Baldwin,2523.0,2414.0,2386.0,1848.0,1907.0,1527.0,2108.0,1756.0,1689.0,1373.0,95th Percentile
3,Alabama,01005,Barbour,3109.0,3126.0,3096.0,3091.0,3089.0,3063.0,3077.0,3008.0,3009.0,3019.0,95th Percentile
4,Alabama,01007,Bibb,2943.0,3084.0,3116.0,3120.0,3122.0,3127.0,3124.0,3068.0,3047.0,3115.0,95th Percentile
5,Alabama,01009,Blount,2992.0,3014.0,2977.0,3051.0,3107.0,3111.0,3087.0,2868.0,2658.0,2752.0,95th Percentile
6,Alabama,01011,Bullock,3117.0,3121.0,3064.0,3047.0,3063.0,2984.0,3056.0,3076.0,3083.0,3081.0,95th Percentile
7,Alabama,01013,Butler,3048.0,2998.0,3051.0,3093.0,3091.0,3105.0,3111.0,3131.0,3063.0,3109.0,95th Percentile
8,Alabama,01015,Calhoun,2941.0,3017.0,2951.0,2931.0,2908.0,2978.0,2938.0,2975.0,2962.0,2897.0,95th Percentile
9,Alabama,01017,Chambers,3055.0,3070.0,3086.0,3088.0,3111.0,3098.0,3130.0,3098.0,3077.0,3020.0,95th Percentile
10,Alabama,01019,Cherokee,3126.0,3137.0,3136.0,3128.0,3125.0,3114.0,3076.0,2853.0,2943.0,3096.0,95th Percentile
11,Alabama,01021,Chilton,3054.0,3069.0,3062.0,3067.0,3037.0,2905.0,2922.0,3015.0,2984.0,2992.0,95th Percentile
12,Alabama,01023,Choctaw,3078.0,3078.0,3048.0,2904.0,3051.0,3060.0,3121.0,3084.0,3015.0,2879.0,95th Percentile
13,Alabama,01025,Clarke,3076.0,3026.0,2900.0,2998.0,3102.0,3125.0,3109.0,2907.0,2784.0,2691.0,95th Percentile
14,Alabama,01027,Clay,3053.0,3050.0,3101.0,3125.0,3121.0,3127.0,3136.0,3134.0,3123.0,3058.0,95th Percentile
15,Alabama,01029,Cleburne,3052.0,3054.0,3047.0,3080.0,3076.0,3085.0,3105.0,3104.0,3079.0,2994.0,95th Percentile
16,Alabama,01031,Coffee,2867.0,2952.0,3050.0,2903.0,2895.0,2591.0,2803.0,2779.0,2703.0,2762.0,95th Percentile
17,Alabama,01033,Colbert,3044.0,3065.0,2918.0,3061.0,2976.0,3029.0,2689.0,2906.0,2609.0,2961.0,95th Percentile
18,Alabama,01035,Conecuh,3119.0,3106.0,3107.0,3092.0,3107.0,3103.0,3118.0,3111.0,3057.0,3035.0,95th Percentile
19,Alabama,01037,Coosa,3092.0,3094.0,3107.0,3119.0,3113.0,3098.0,2975.0,3027.0,2912.0,2969.0,95th Percentile
20,Alabama,01039,Covington,2866.0,3072.0,3090.0,3089.0,3118.0,3116.0,3128.0,3125.0,3092.0,3060.0,95th Percentile
21,Alabama,01041,Crenshaw,3000.0,3051.0,2994.0,2997.0,2973.0,3061.0,3076.0,3053.0,2984.0,2925.0,95th Percentile
22,Alabama,01043,Cullman,2863.0,2903.0,2987.0,2971.0,2997.0,2743.0,2908.0,2890.0,2551.0,2396.0,95th Percentile
23,Alabama,01045,Dale,3067.0,3102.0,2968.0,2828.0,2769.0,2910.0,2867.0,2894.0,2516.0,2617.0,95th Percentile
24,Alabama,01047,Dallas,3037.0,3057.0,3067.0,3081.0,3037.0,2989.0,3010.0,2989.0,3003.0,2890.0,95th Percentile
25,Alabama,01049,DeKalb,3120.0,3126.0,3087.0,3023.0,2949.0,2506.0,2912.0,2803.0,2968.0,2936.0,95th Percentile
26,Alabama,01051,Elmore,2801.0,2947.0,2984.0,2994.0,2914.0,2935.0,2865.0,2857.0,2738.0,2821.0,95th Percentile
27,Alabama,01053,Escambia,3013.0,3012.0,3065.0,3041.0,3086.0,3115.0,3124.0,3123.0,2976.0,2990.0,95th Percentile
28,Alabama,01055,Etowah,2976.0,3056.0,3078.0,3096.0,3093.0,3010.0,2970.0,2919.0,2901.0,3033.0,95th Percentile
29,Alabama,01057,Fayette,3133.0,3125.0,3100.0,3075.0,3071.0,3008.0,2964.0,2917.0,2881.0,3038.0,95th Percentile
30,Alabama,01059,Franklin,2860.0,3002.0,3103.0,3089.0,3110.0,3125.0,3124.0,3068.0,3088.0,3116.0,95th Percentile
31,Alabama,01061,Geneva,2976.0,3003.0,3095.0,3107.0,3123.0,3092.0,3061.0,2960.0,2844.0,2790.0,95th Percentile
32,Alabama,01063,Greene,3112.0,3123.0,3105.0,3120.0,3123.0,3132.0,3118.0,3046.0,3020.0,3025.0,95th Percentile
33,Alabama,01065,Hale,3130.0,3131.0,3119.0,3110.0,3114.0,3098.0,3129.0,3083.0,3093.0,3028.0,95th Percentile
34,Alabama,01067,Henry,3106.0,3111.0,3049.0,2967.0,2952.0,2878.0,2789.0,2835.0,2689.0,2758.0,95th Percentile
35,Alabama,01069,Houston,2860.0,3002.0,2677.0,2921.0,2848.0,2948.0,2918.0,2689.0,2708.0,2348.0,95th Percentile
36,Alabama,01071,Jackson,3115.0,3089.0,3040.0,2974.0,2958.0,2863.0,2992.0,3044.0,2972.0,2992.0,95th Percentile
37,Alabama,01073,Jefferson,2637.0,2575.0,2487.0,2428.0,2473.0,2323.0,2438.0,2188.0,2198.0,2143.0,95th Percentile
38,Alabama,01075,Lamar,2906.0,2864.0,3069.0,3037.0,3092.0,3102.0,3124.0,3119.0,3050.0,3078.0,95th Percentile
39,Alabama,01077,Lauderdale,2766.0,2797.0,2873.0,2934.0,3000.0,2909.0,2864.0,2608.0,2569.0,2639.0,95th Percentile
40,Alabama,01079,Lawrence,3041.0,3058.0,3048.0,3064.0,3001.0,3116.0,3102.0,3124.0,3104.0,3131.0,95th Percentile
41,Alabama,01081,Lee,2564.0,2847.0,2790.0,2751.0,2515.0,2503.0,2307.0,2031.0,1680.0,1983.0,95th Percentile
42,Alabama,01083,Limestone,3034.0,2996.0,2942.0,2989.0,3014.0,2928.0,2815.0,2941.0,2941.0,2961.0,95th Percentile
43,Alabama,01085,Lowndes,3119.0,3127.0,3079.0,3108.0,3099.0,3129.0,3109.0,3022.0,2895.0,2942.0,95th Percentile
44,Alabama,01087,Macon,3116.0,3100.0,3090.0,3055.0,3067.0,2955.0,3059.0,3059.0,2963.0,3017.0,95th Percentile
45,Alabama,01089,Madison,2363.0,2406.0,2606.0,2304.0,2321.0,1627.0,1893.0,1696.0,1596.0,1535.0,95th Percentile
46,Alabama,01091,Marengo,3069.0,3103.0,3058.0,3079.0,3079.0,3063.0,3026.0,3035.0,3043.0,3025.0,95th Percentile
47,Alabama,01093,Marion,3096.0,3077.0,3100.0,3071.0,3113.0,3097.0,3142.0,3120.0,3094.0,2925.0,95th Percentile
48,Alabama,01095,Marshall,3030.0,3102.0,3095.0,3057.0,3041.0,2970.0,3086.0,2987.0,2924.0,2779.0,95th Percentile
49,Alabama,01097,Mobile,2896.0,2850.0,2670.0,2730.0,2727.0,2547.0,2559.0,2412.0,2454.0,2467.0,95th Percentile
50,Alabama,01099,Monroe,3124.0,3119.0,3124.0,3029.0,2957.0,2959.0,3065.0,3072.0,2949.0,3042.0,95th Percentile
51,Alabama,01101,Montgomery,2774.0,2750.0,2432.0,2544.0,2500.0,2572.0,2523.0,2460.0,2363.0,2400.0,95th Percentile
52,Alabama,01103,Morgan,2468.0,2622.0,2464.0,2360.0,2493.0,2314.0,2763.0,2670.0,2773.0,2713.0,95th Percentile
53,Alabama,01105,Perry,3113.0,3115.0,3044.0,3024.0,3055.0,3086.0,3046.0,3083.0,3020.0,3094.0,95th Percentile
54,Alabama,01107,Pickens,3100.0,3117.0,3076.0,3063.0,3080.0,3036.0,3080.0,2979.0,3030.0,2932.0,95th Percentile
55,Alabama,01109,Pike,3070.0,3093.0,3012.0,3056.0,3058.0,3000.0,3009.0,2862.0,2726.0,2513.0,95th Percentile
56,Alabama,01111,Randolph,3063.0,2995.0,2637.0,2825.0,2956.0,3079.0,3078.0,3064.0,2854.0,2816.0,95th Percentile
57,Alabama,01113,Russell,3067.0,3068.0,3031.0,3072.0,3118.0,3121.0,3095.0,3047.0,2935.0,3013.0,95th Percentile
58,Alabama,01115,St. Clair,2862.0,2856.0,2684.0,2852.0,2991.0,3081.0,3047.0,2711.0,2557.0,1583.0,95th Percentile
59,Alabama,01117,Shelby,1641.0,1689.0,1935.0,1660.0,1911.0,1397.0,1628.0,1297.0,1485.0,2519.0,95th Percentile
