,State,FIPS,County,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,Comments
1,Alabama,01001,Autauga,3096.0,2994.0,2701.0,2891.0,2955.0,2982.0,2495.0,2571.0,2459.0,2872.0,95th Percentile
2,Alabama,01003,Baldwin,2750.0,2438.0,1600.0,1392.0,1728.0,1091.0,1351.0,902.0,1222.0,1377.0,95th Percentile
3,Alabama,01005,Barbour,3121.0,3124.0,3133.0,3126.0,3127.0,3096.0,3096.0,3116.0,3132.0,3140.0,95th Percentile
4,Alabama,01007,Bibb,3085.0,3097.0,3061.0,3034.0,3003.0,2991.0,2981.0,3098.0,3127.0,3127.0,95th Percentile
5,Alabama,01009,Blount,2846.0,2986.0,2927.0,3042.0,3013.0,2879.0,2604.0,2661.0,2802.0,2986.0,95th Percentile
6,Alabama,01011,Bullock,3139.0,3139.0,3136.0,3133.0,3133.0,3137.0,3142.0,3143.0,3143.0,3141.0,95th Percentile
7,Alabama,01013,Butler,3099.0,3074.0,3068.0,3123.0,3126.0,3138.0,3119.0,3116.0,3050.0,3063.0,95th Percentile
8,Alabama,01015,Calhoun,3021.0,3030.0,3056.0,3049.0,3014.0,2834.0,2727.0,2421.0,2490.0,2534.0,95th Percentile
9,Alabama,01017,Chambers,3106.0,3082.0,3103.0,3127.0,3114.0,3059.0,3049.0,3131.0,3129.0,3126.0,95th Percentile
10,Alabama,01019,Cherokee,2970.0,3017.0,3066.0,3037.0,3044.0,2820.0,2849.0,2703.0,2935.0,2960.0,95th Percentile
11,Alabama,01021,Chilton,3008.0,3016.0,3098.0,3109.0,3105.0,3052.0,3119.0,3093.0,3086.0,3056.0,95th Percentile
12,Alabama,01023,Choctaw,3119.0,3110.0,3122.0,3126.0,3119.0,3119.0,3126.0,3133.0,3115.0,3129.0,95th Percentile
13,Alabama,01025,Clarke,3120.0,3106.0,3126.0,3120.0,3117.0,3058.0,3057.0,3010.0,3043.0,3107.0,95th Percentile
14,Alabama,01027,Clay,3052.0,3013.0,3063.0,3072.0,3060.0,3066.0,3081.0,3116.0,3121.0,3106.0,95th Percentile
15,Alabama,01029,Cleburne,3034.0,3068.0,3019.0,2953.0,2827.0,2671.0,2856.0,2724.0,2666.0,2710.0,95th Percentile
16,Alabama,01031,Coffee,3104.0,3096.0,3104.0,3055.0,3037.0,2807.0,2431.0,1983.0,2349.0,2863.0,95th Percentile
17,Alabama,01033,Colbert,2994.0,3027.0,3111.0,3125.0,3092.0,2889.0,2710.0,2906.0,3044.0,3062.0,95th Percentile
18,Alabama,01035,Conecuh,3129.0,3114.0,3120.0,3094.0,3048.0,2987.0,3102.0,3132.0,3108.0,3086.0,95th Percentile
19,Alabama,01037,Coosa,3106.0,3124.0,3121.0,3122.0,3093.0,3042.0,3046.0,3108.0,3126.0,3133.0,95th Percentile
20,Alabama,01039,Covington,2991.0,2950.0,2971.0,3062.0,3092.0,3102.0,3001.0,2867.0,2747.0,2984.0,95th Percentile
21,Alabama,01041,Crenshaw,3102.0,3119.0,3122.0,3121.0,3098.0,3125.0,3091.0,3116.0,3096.0,3129.0,95th Percentile
22,Alabama,01043,Cullman,2728.0,2740.0,2749.0,2894.0,2900.0,2868.0,2866.0,2990.0,2986.0,2865.0,95th Percentile
23,Alabama,01045,Dale,3067.0,3081.0,3024.0,3078.0,3082.0,3057.0,3034.0,2952.0,3034.0,3043.0,95th Percentile
24,Alabama,01047,Dallas,3138.0,3138.0,3139.0,3140.0,3136.0,3137.0,3131.0,3130.0,3133.0,3115.0,95th Percentile
25,Alabama,01049,DeKalb,2858.0,3030.0,3017.0,3043.0,2988.0,2998.0,2891.0,2777.0,2506.0,2374.0,95th Percentile
26,Alabama,01051,Elmore,2944.0,2951.0,2833.0,2693.0,2637.0,2690.0,2495.0,2323.0,2319.0,2964.0,95th Percentile
